"Date","Price","Open","High","Low","Change %"
"May 22","8.3345","8.3089","8.4347","8.1816","0.33%"
"Apr 22","8.3069","8.3292","8.4408","8.2014","-0.23%"
"Mar 22","8.3260","8.4676","8.4844","8.2514","-1.64%"
"Feb 22","8.4652","8.5536","8.6705","8.3997","-1.01%"
"Jan 22","8.5517","8.6004","8.7477","8.4953","-0.49%"
"Dec 21","8.5938","8.4639","8.6200","8.3594","1.57%"
"Nov 21","8.4609","8.7647","8.7764","8.3974","-3.51%"
"Oct 21","8.7691","8.6849","8.8647","8.6601","0.99%"
"Sep 21","8.6830","8.8854","8.9647","8.6685","-2.28%"
"Aug 21","8.8856","8.9820","9.0161","8.8400","-1.07%"
"Jul 21","8.9813","8.9297","9.0472","8.7971","0.60%"
"Jun 21","8.9275","9.0536","9.0856","8.8983","-1.35%"
"May 21","9.0494","8.9509","9.1551","8.9334","1.20%"
"Apr 21","8.9418","9.0305","9.1388","8.9344","-0.95%"
"Mar 21","9.0277","9.0257","9.0997","8.9207","0.11%"
"Feb 21","9.0182","8.8144","9.2064","8.7674","2.46%"
"Jan 21","8.8016","8.9236","8.9321","8.7188","-1.35%"
"Dec 20","8.9216","8.7661","8.9536","8.5982","1.85%"
"Nov 20","8.7599","8.6643","8.8134","8.5972","1.15%"
"Oct 20","8.6600","8.7724","8.8335","8.6157","-1.26%"
"Sep 20","8.7708","9.1540","9.1946","8.6081","-4.19%"
"Aug 20","9.1543","9.1333","9.1821","9.0288","0.33%"
"Jul 20","9.1246","8.7619","9.2071","8.7311","4.16%"
"Jun 20","8.7600","8.8067","9.0476","8.6666","-0.54%"
"May 20","8.8072","8.8977","8.9002","8.5758","-0.93%"
"Apr 20","8.8900","8.8028","8.9251","8.6276","1.10%"
"Mar 20","8.7929","8.9497","9.1672","8.0771","-1.89%"
"Feb 20","8.9619","9.1678","9.2443","8.8976","-2.11%"
"Jan 20","9.1554","9.2339","9.2497","8.8885","-0.87%"
"Dec 19","9.2362","9.0842","9.4411","9.0275","1.58%"
"Nov 19","9.0929","9.1091","9.1360","8.9232","-0.15%"
"Oct 19","9.1070","8.7850","9.2057","8.6807","3.67%"
"Sep 19","8.7845","8.6952","8.9155","8.5822","1.01%"
"Aug 19","8.6968","8.3673","8.8160","8.3308","3.93%"
"Jul 19","8.3680","8.7174","8.7242","8.3477","-3.97%"
"Jun 19","8.7137","8.7189","8.8293","8.6439","-0.07%"
"May 19","8.7202","8.7776","8.9672","8.6757","-0.64%"
"Apr 19","8.7760","8.7508","8.8623","8.6632","0.35%"
"Mar 19","8.7454","8.8778","8.9771","8.7031","-1.44%"
"Feb 19","8.8732","8.7844","8.9277","8.6490","1.11%"
"Jan 19","8.7762","8.7780","8.9185","8.5353","0.06%"
